"Time","Japan nuclear wastewater","salt panic"
"2023-06-25",0,3
"2023-07-02",3,3
"2023-07-09",0,0
"2023-07-16",0,2
"2023-07-23",0,4
"2023-07-30",0,5
"2023-08-06",0,3
"2023-08-13",0,2
"2023-08-20",100,3
"2023-08-27",43,5
"2023-09-03",9,6
"2023-09-10",3,3
"2023-09-17",3,0
"2023-09-24",3,3
"2023-10-01",0,2
"2023-10-08",0,0
"2023-10-15",2,3
"2023-10-22",3,3
"2023-10-29",0,0
