"query","search interest","increase percent"
"china fire",100,"Breakout"
"china urumqi fire",96,"Breakout"
"urumqi china",96,"Breakout"
"fire in urumqi",76,"Breakout"
"xinjiang fire",26,"Breakout"
"xinjiang",19,"Breakout"
"china protests",18,"Breakout"
"urumqi fire victims",11,"Breakout"
