"query","search interest","increase percent"
"nongfu spring water",100,"3%"
"nongfu spring tea",90,"-30%"
"zhong shanshan",74,"-20%"
"nongfu spring stock",68,"50%"
"nongfu spring share price",64,"30%"
"tencent",24,"90%"
"nongfu spring stock price",20,"190%"
"nongfu spring aktie",18,"130%"
"nongfu spring co",14,"-1%"
"nongfu spring water price",12,"-30%"
"bernard arnault",10,"-5%"
"tencent share price",10,"Breakout"
"yakult",5,"Breakout"
