"query","search interest","increase percent"
"covid in china",100,"30%"
"covid 19",25,"-30%"
"covid cases china",24,"10%"
"china covid cases",23,"20%"
"paxlovid",22,"Breakout"
"paxlovid china",22,"Breakout"
"covid 19 medicine",21,"-50%"
"china covid news",20,"0%"
"covid cases in china",9,"60%"
